idDeputato,idGruppo,DisegnidiLegge,InterrogazioniParlamentari,InterpellanzeParlamentari,Mozioni,Ordinidelgiorno
16,224,2,0,0,0,0
28,223,7,14,1,7,5
32,196,11,13,1,2,2
45,220,6,14,6,2,4
473,200,5,29,0,9,1
692,196,14,5,1,3,2
695,196,2,10,0,1,4
701,213,7,14,0,4,0
702,225,22,56,1,8,11
710,201,0,3,0,0,0
713,196,19,0,0,1,12
720,196,15,46,2,1,9
725,208,8,12,0,8,5
727,208,42,44,8,9,6
729,196,13,46,1,2,9
73,196,4,4,0,2,2
742,216,9,24,1,3,0
752,221,15,2,0,4,0
753,208,27,177,12,39,60
755,208,10,29,1,1,0
757,200,8,23,1,1,0
758,224,12,56,0,3,1
760,200,2,71,11,4,28
761,206,15,18,4,8,18
764,196,7,4,1,3,12
767,196,19,10,0,1,2
771,223,18,44,1,4,3
775,225,116,1023,2,20,42
776,214,3,18,1,2,0
778,201,21,25,11,4,9
780,223,3,2,0,2,1
784,214,4,26,0,8,0
79,221,5,13,0,3,2
805,213,5,25,9,0,1
816,196,7,25,3,9,9
817,196,8,8,0,4,6
818,196,6,27,0,6,0
819,208,9,111,0,29,2
820,196,17,29,4,4,4
821,197,25,78,15,30,9
822,197,5,87,23,10,0
823,197,12,67,35,15,8
824,197,6,44,3,10,2
825,196,9,44,3,6,6
826,201,2,4,1,0,8
827,213,7,22,0,12,0
830,216,6,6,2,4,9
831,196,6,8,0,4,2
835,197,9,76,19,12,2
836,222,18,150,1,11,8
838,225,15,34,0,4,7
839,197,11,99,48,44,23
840,208,11,56,1,5,4
841,201,8,36,11,11,9
842,214,11,3,0,0,0
843,221,2,3,1,0,0
844,197,8,95,15,11,8
845,222,8,24,0,4,2
846,214,26,5,2,3,1
847,200,31,61,16,40,30
848,208,7,41,1,5,1
849,206,12,13,1,5,2
850,216,1,10,1,1,1
851,197,4,74,41,7,6
852,223,9,28,0,1,2
853,223,7,14,1,2,2
854,220,18,192,54,17,1
855,197,11,60,26,12,7
857,196,4,15,1,4,2
858,197,10,60,6,5,1
859,224,0,2,0,0,1
860,196,2,3,0,2,0
861,214,2,14,0,0,2
862,197,21,65,3,12,1
864,223,15,5,0,1,6
865,221,3,35,0,2,2
866,197,13,78,40,18,18
867,197,26,153,22,54,14
86,208,1,10,0,0,16
881,208,2,7,0,2,9
884,197,11,64,8,11,1
885,222,3,31,0,1,5
893,208,0,21,0,1,1
905,222,0,1,0,0,0
909,220,0,7,0,0,0
910,225,1,2,0,0,0
912,208,0,2,0,0,0
95,222,66,28,1,5,4
